date,BTC종가,BTC변동률
2021-05-14,49839.8,0.27
2021-05-13,49704.6,0.65
2021-05-12,49384.2,-12.9
2021-05-11,56695.7,1.52
2021-05-10,55848.9,-4.1
2021-05-09,58238.3,-1.02
2021-05-08,58840.1,2.62
2021-05-07,57337.2,1.65
2021-05-06,56405.4,-1.8
2021-05-05,57441.3,6.88
2021-05-04,53741.5,-6
2021-05-03,57169.8,1
2021-05-02,56603.8,-2.08
2021-05-01,57807.1,0.15
2021-04-30,57720.3,7.77
2021-04-29,53560.8,-2.34
2021-04-28,54841.4,-0.35
2021-04-27,55036.5,1.88
2021-04-26,54020.5,10.33
2021-04-25,48963.6,-2.25
2021-04-24,50088.9,-2.06
2021-04-23,51143.6,-1.13
2021-04-22,51729.5,-3.88
2021-04-21,53820.2,-4.71
2021-04-20,56483.2,1.5
2021-04-19,55646.1,-1
2021-04-18,56207.1,-6.39
2021-04-17,60041.9,-2.18
2021-04-16,61379.7,-2.9
2021-04-15,63216,0.37
2021-04-14,62980.4,-0.88
2021-04-13,63540.9,6.14
2021-04-12,59863.8,-0.19
2021-04-11,59978.7,0.39
2021-04-10,59748.4,2.8
2021-04-09,58118.7,0.07
2021-04-08,58077.4,3.8
2021-04-07,55948.7,-3.53
2021-04-06,57996.3,-1.69
2021-04-05,58993.4,1.36
2021-04-04,58199.9,2
2021-04-03,57059.9,-3.25
2021-04-02,58977.3,0.44
2021-04-01,58718.3,-0.08
2021-03-31,58763.7,-0.01
2021-03-30,58771.3,2
2021-03-29,57616.2,3.32
2021-03-28,55765.2,-0.17
2021-03-27,55862.9,1.5
2021-03-26,55036.1,7.24
2021-03-25,51322.3,-1.92
2021-03-24,52325.4,-3.91
2021-03-23,54452.5,0.54
2021-03-22,54158.3,-5.62
2021-03-21,57383.8,-1.22
2021-03-20,58093.4,0.01
2021-03-19,58088,0.75
2021-03-18,57656,-2.13
2021-03-17,58913.5,3.56
2021-03-16,56889.7,1.97
2021-03-15,55791.3,-5.62
2021-03-14,59113.7,-3.4
2021-03-13,61195.3,6.86
2021-03-12,57265.1,-0.92
2021-03-11,57799.5,3.49
2021-03-10,55851.9,1.77
2021-03-09,54879,4.91
2021-03-08,52311,2.61
2021-03-07,50982.3,4.35
2021-03-06,48855.6,0.13
2021-03-05,48792.5,0.75
2021-03-04,48428,-3.9
2021-03-03,50395.1,4.07
2021-03-02,48424.2,-2.36
2021-03-01,49595.5,9.81
2021-02-28,45164,-2.11
2021-02-27,46136.7,-0.45
2021-02-26,46345.6,-1.24
2021-02-25,46928.5,-5.57
2021-02-24,49697.5,1.61
2021-02-23,48911.2,-9.61
2021-02-22,54111.8,-5.78
2021-02-21,57433.8,2.7
2021-02-20,55923.7,0.03
2021-02-19,55906.6,8.38
2021-02-18,51582.2,-0.95
2021-02-17,52079.2,5.92
2021-02-16,49169.7,2.57
2021-02-15,47936.3,-1.45
2021-02-14,48643.4,3.13
2021-02-13,47168.7,-0.43
2021-02-12,47371.7,-1.29
2021-02-11,47990.7,7.04
2021-02-10,44836,-3.6
2021-02-09,46508.6,0.24
2021-02-08,46395.7,19.41
2021-02-07,38852.9,-1.03
2021-02-06,39256.6,2.5
2021-02-05,38297.6,3.56
2021-02-04,36982.1,-1.77
2021-02-03,37646.8,6.09
2021-02-02,35485.2,5.88
2021-02-01,33515.7,1.23
2021-01-31,33108.1,-3.43
2021-01-30,34283.1,-0.05
2021-01-29,34301.8,2.78
2021-01-28,33374.8,9.77
2021-01-27,30404,-6.46
2021-01-26,32502.1,0.77
2021-01-25,32252.3,0.03
2021-01-24,32241.3,0.47
2021-01-23,32088.9,-2.76
2021-01-22,33000.5,7
2021-01-21,30842.1,-13.06
2021-01-20,35476.3,-1.46
2021-01-19,36002.9,-1.67
2021-01-18,36613.2,2.16
2021-01-17,35839.6,-0.5
2021-01-16,36019.5,-2.24
2021-01-15,36845.8,-5.95
2021-01-14,39175.7,4.8
2021-01-13,37382.2,9.7
2021-01-12,34076.1,-4.13
2021-01-11,35544.3,-6.93
2021-01-10,38192.2,-4.88
2021-01-09,40151.9,-1.1
2021-01-08,40599.3,2.89
2021-01-07,39460.2,7.25
2021-01-06,36793.2,8.24
2021-01-05,33991.5,6.15
2021-01-04,32022.6,-2.84
2021-01-03,32958.9,2.38
2021-01-02,32193.3,9.65
2021-01-01,29359.9,1.42
2020-12-31,28949.4,0.28
2020-12-30,28868.7,5.45
2020-12-29,27376,1.18
2020-12-28,27057.8,3.03
2020-12-27,26261.3,-0.73
2020-12-26,26454.4,7.15
2020-12-25,24689.6,4.02
2020-12-24,23736.5,2.06
2020-12-23,23257.9,-2.37
2020-12-22,23823.2,4.82
2020-12-21,22728.5,-3.18
2020-12-20,23474.9,-1.55
2020-12-19,23844,3.1
2020-12-18,23127.9,1.33
2020-12-17,22825.4,6.9
2020-12-16,21352.2,9.87
2020-12-15,19434.9,0.84
2020-12-14,19273.8,0.51
2020-12-13,19176.8,1.96
2020-12-12,18808.9,4.36
2020-12-11,18023.6,-1.23
2020-12-10,18247.2,-1.61
2020-12-09,18546,1.2
2020-12-08,18326.6,-4.4
2020-12-07,19170.7,-1.08
2020-12-06,19379.9,1.22
2020-12-05,19146.5,2.62
2020-12-04,18658.1,-3.99
2020-12-03,19433.3,1.12
2020-12-02,19218.8,2.39
2020-12-01,18770.7,-4.71
2020-11-30,19698.1,8.32
2020-11-29,18185.5,2.57
2020-11-28,17730.7,3.52
2020-11-27,17127.1,-0.2
2020-11-26,17162,-8.34
2020-11-25,18723,-2.24
2020-11-24,19152.6,4.21
2020-11-23,18379.6,-0.18
2020-11-22,18412.9,-1.47
2020-11-21,18687.2,0.06
2020-11-20,18675.2,4.9
2020-11-19,17803.5,0.16
2020-11-18,17774.6,0.64
2020-11-17,17662.3,5.66
2020-11-16,16715.8,4.78
2020-11-15,15953,-0.73
2020-11-14,16071,-1.55
2020-11-13,16324.2,0.18
2020-11-12,16294.7,3.82
2020-11-11,15695.8,2.56
2020-11-10,15303.6,-0.15
2020-11-09,15327.2,-1.01
2020-11-08,15483.7,4.42
2020-11-07,14828.4,-4.81
2020-11-06,15577.9,-0.06
2020-11-05,15587.1,10.19
2020-11-04,14145.6,0.9
2020-11-03,14019.9,3.38
2020-11-02,13561.4,-1.44
2020-11-01,13759.4,-0.27
2020-10-31,13797.3,1.75
2020-10-30,13559.9,0.76
2020-10-29,13457.2,1.34
2020-10-28,13278.9,-2.77
2020-10-27,13657.8,4.56
2020-10-26,13061.6,0.23
2020-10-25,13032.2,-0.65
2020-10-24,13117.2,1.42
2020-10-23,12934.1,-0.31
2020-10-22,12974.6,1.3
2020-10-21,12808.7,7.51
2020-10-20,11913.5,1.36
2020-10-19,11753.4,2.14
2020-10-18,11506.9,1.27
2020-10-17,11362.1,0.35
2020-10-16,11322,-1.57
2020-10-15,11503,0.72
2020-10-14,11420.4,-0.03
2020-10-13,11423.8,-0.95
2020-10-12,11533.9,1.43
2020-10-11,11371,0.64
2020-10-10,11298.4,2.21
2020-10-09,11054.2,1.19
2020-10-08,10924.1,2.37
2020-10-07,10670.9,0.64
2020-10-06,10602.6,-1.73
2020-10-05,10789.5,1.09
2020-10-04,10672.9,1.22
2020-10-03,10544.2,-0.27
2020-10-02,10572.3,-0.45
2020-10-01,10620.5,-1.44
2020-09-30,10776.1,-0.6
2020-09-29,10840.9,1.38
2020-09-28,10693.2,-0.77
2020-09-27,10776.2,0.45
2020-09-26,10727.9,0.37
2020-09-25,10688.8,-0.47
2020-09-24,10739.4,4.9
2020-09-23,10237.3,-2.79
2020-09-22,10531.5,1.1
2020-09-21,10416.8,-4.62
2020-09-20,10921.5,-1.45
2020-09-19,11081.8,1.36
2020-09-18,10933,-0.08
2020-09-17,10941.3,-0.07
2020-09-16,10949.5,1.52
2020-09-15,10785.3,1.03
2020-09-14,10675.3,3.38
2020-09-13,10326,-1.11
2020-09-12,10441.9,0.5
2020-09-11,10390.2,0.49
2020-09-10,10339.7,1.13
2020-09-09,10224.6,0.97
2020-09-08,10126.6,-2.41
2020-09-07,10376.9,0.78
2020-09-06,10296.4,2.02
2020-09-05,10092.2,-3.63
2020-09-04,10472.5,2.99
2020-09-03,10168.8,-10.9
2020-09-02,11413.3,-4.21
2020-09-01,11914.9,2.32
2020-08-31,11644.2,-0.49
2020-08-30,11702,2.04
2020-08-29,11468.1,-0.51
2020-08-28,11527.4,1.77
2020-08-27,11327.4,-1.18
2020-08-26,11462.3,1.21
2020-08-25,11324.8,-3.65
2020-08-24,11753.5,0.96
2020-08-23,11641.6,-0.17
2020-08-22,11661.3,1.15
2020-08-21,11529.2,-2.76
2020-08-20,11856.9,0.91
2020-08-19,11750.2,-1.65
2020-08-18,11947.6,-2.73
2020-08-17,12282.6,3.22
2020-08-16,11899,0.45
2020-08-15,11845.3,0.8
2020-08-14,11750.8,-0.17
2020-08-13,11770.9,1.85
2020-08-12,11557.2,1.46
2020-08-11,11390.4,-4.19
2020-08-10,11889.2,1.78
2020-08-09,11681.2,-0.71
2020-08-08,11764.3,1.49
2020-08-07,11592,-1.4
2020-08-06,11757.1,0.19
2020-08-05,11735.1,4.92
2020-08-04,11184.7,-0.35
2020-08-03,11224.4,1.42
2020-08-02,11066.8,-6.24
2020-08-01,11803.1,4.14
2020-07-31,11333.4,2.14
2020-07-30,11096.2,-0.09
2020-07-29,11105.9,1.81
2020-07-28,10908.5,-1.04
2020-07-27,11022.8,10.98
2020-07-26,9932.5,2.35
2020-07-25,9704.1,1.65
2020-07-24,9546.4,-0.55
2020-07-23,9599.6,0.9
2020-07-22,9513.7,1.35
2020-07-21,9387.3,2.46
2020-07-20,9162.4,-0.5
2020-07-19,9208,0.41
2020-07-18,9170.2,0.16
2020-07-17,9155.8,0.22
2020-07-16,9135.3,-0.69
2020-07-15,9198.7,-0.59
2020-07-14,9253.4,0.11
2020-07-13,9243.6,-0.62
2020-07-12,9300.8,0.73
2020-07-11,9233.3,-0.56
2020-07-10,9285.1,0.53
2020-07-09,9235.7,-2.06
2020-07-08,9429.9,1.88
2020-07-07,9256,-0.89
2020-07-06,9339,2.84
2020-07-05,9081,-0.58
2020-07-04,9134.4,0.74
2020-07-03,9067.1,-0.2
2020-07-02,9085.1,-1.57
2020-07-01,9229.9,1.03
2020-06-30,9135.4,-0.54
2020-06-29,9185.4,0.67
2020-06-28,9124,1.28
2020-06-27,9008.3,-1.66
2020-06-26,9160,-0.95
2020-06-25,9247.5,-0.59
2020-06-24,9302,-3.35
2020-06-23,9624.6,-0.61
2020-06-22,9683.7,4.17
2020-06-21,9296.4,-0.67
2020-06-20,9358.8,0.48
2020-06-19,9314,-0.79
2020-06-18,9388.1,-0.81
2020-06-17,9464.6,-0.62
2020-06-16,9523.5,1.04
2020-06-15,9425.4,0.86
2020-06-14,9345.3,-1.33
2020-06-13,9471.3,0.05
2020-06-12,9466.6,1.97
2020-06-11,9283.2,-6.03
2020-06-10,9878.8,1.13
2020-06-09,9768.8,-0.09
2020-06-08,9777.9,0.36
2020-06-07,9742.6,0.76
2020-06-06,9669.6,0.4
2020-06-05,9631.2,-1.67
2020-06-04,9794.4,1.32
2020-06-03,9667.2,1.47
2020-06-02,9527.6,-6.49
2020-06-01,10189.3,7.77
2020-05-31,9454.8,-2.45
2020-05-30,9692.5,2.84
2020-05-29,9424.8,-1.54
2020-05-28,9572.2,4.06
2020-05-27,9199.1,4.03
2020-05-26,8842.5,-0.63
2020-05-25,8898.2,1.95
2020-05-24,8728.2,-4.89
2020-05-23,9177,0.08
2020-05-22,9169.7,1.22
2020-05-21,9059,-4.76
2020-05-20,9512.3,-2.67
2020-05-19,9773.3,0.44
2020-05-18,9730.7,0.55
2020-05-17,9677.7,3.18
2020-05-16,9379.5,0.66
2020-05-15,9318,-4.71
2020-05-14,9778.4,5.16
2020-05-13,9298.7,5.5
2020-05-12,8813.8,2.73
2020-05-11,8579.8,-1.82
2020-05-10,8738.8,-8.54
2020-05-09,9554.6,-2.57
2020-05-08,9806.2,-1.74
2020-05-07,9979.8,9.05
2020-05-06,9151.4,1.67
2020-05-05,9001,1.42
2020-05-04,8874.7,-0.12
2020-05-03,8885.5,-0.9
2020-05-02,8966.3,1.64
2020-05-01,8821.6,2.23
2020-04-30,8629,-1.62
2020-04-29,8770.9,13.22
2020-04-28,7746.9,-0.25
2020-04-27,7766,1.13
2020-04-26,7678.9,1.84
2020-04-25,7540.4,0.49
2020-04-24,7503.8,0.2
2020-04-23,7488.5,5.28
2020-04-22,7112.9,3.95
2020-04-21,6842.5,0.13
2020-04-20,6833.5,-4.06
2020-04-19,7122.9,-1.49
2020-04-18,7230.8,2.77
2020-04-17,7035.8,-0.7
2020-04-16,7085.6,6.89
2020-04-15,6629.1,-3.24
2020-04-14,6850.9,0.14
2020-04-13,6841.3,-1.1
2020-04-12,6917.6,0.73
2020-04-11,6867.8,0.07
2020-04-10,6863.1,-5.84
2020-04-09,7289,-0.98
2020-04-08,7361.2,2.45
2020-04-07,7185.2,-2.01
2020-04-06,7332.3,8.26
2020-04-05,6772.7,-1.23
2020-04-04,6857.4,1.8
2020-04-03,6735.9,-0.95
2020-04-02,6800.5,2.44
2020-04-01,6638.5,3.52
2020-03-31,6412.5,0.34
2020-03-30,6391,8.5
2020-03-29,5890.4,-5.51
2020-03-28,6233.7,-2.19
2020-03-27,6373.4,-5.23
2020-03-26,6725.1,0.69
2020-03-25,6678.9,-0.97
2020-03-24,6744.6,4.26
2020-03-23,6468.9,11.11
2020-03-22,5822.1,-5.89
2020-03-21,6186.2,-0.31
2020-03-20,6205.3,0.54
2020-03-19,6172,15.12
2020-03-18,5361.4,1.91
2020-03-17,5261.1,4.59
2020-03-16,5030,-6.27
2020-03-15,5366.3,3.54
2020-03-14,5182.7,-7.19
2020-03-13,5584.3,15.71
2020-03-12,4826,-39.18
2020-03-11,7935.1,0.56
2020-03-10,7891.2,-0.53
2020-03-09,7933,-1.26
2020-03-08,8034.1,-9.61
2020-03-07,8887.8,-2.7
2020-03-06,9134.8,0.82
2020-03-05,9060.3,3.45
2020-03-04,8757.9,-0.04
2020-03-03,8761.4,-1.61
2020-03-02,8904.8,4.27
2020-03-01,8540,-0.04
2020-02-29,8543.7,-1.77
2020-02-28,8697.5,-1.37
2020-02-27,8818.6,0.21
2020-02-26,8800.3,-5.55
2020-02-25,9317.2,-3.57
2020-02-24,9662.7,-2.82
2020-02-23,9942.7,2.97
2020-02-22,9655.7,-0.3
2020-02-21,9684.5,0.85
2020-02-20,9602.4,-0.07
2020-02-19,9609.4,-5.4
2020-02-18,10158.4,4.71
2020-02-17,9701.4,-2.32
2020-02-16,9932.3,0.25
2020-02-15,9907.7,-4.12
2020-02-14,10333,0.96
2020-02-13,10235.1,-0.8
2020-02-12,10317.7,0.86
2020-02-11,10229.5,3.81
2020-02-10,9854.1,-2.93
2020-02-09,10151.5,2.59
2020-02-08,9895.5,0.78
2020-02-07,9818.6,0.48
2020-02-06,9772,1.67
2020-02-05,9611.8,4.54
2020-02-04,9193.9,-1.1
2020-02-03,9296.6,-0.41
2020-02-02,9334.9,-0.5
2020-02-01,9381.6,0.35
2020-01-31,9349.1,-1.66
2020-01-30,9507.3,2.24
2020-01-29,9298.9,-0.84
2020-01-28,9377.3,5.76
2020-01-27,8866.6,3.01
2020-01-26,8607.8,3.19
2020-01-25,8341.6,-1.17
2020-01-24,8439.9,0.41
2020-01-23,8405.1,-3.15
2020-01-22,8678.5,-0.62
2020-01-21,8732.6,1.05
2020-01-20,8641.9,-0.74
2020-01-19,8706.2,-2.36
2020-01-18,8916.3,0.04
2020-01-17,8913.1,2.13
2020-01-16,8726.9,-1.04
2020-01-15,8818.3,-0.12
2020-01-14,8829.2,8.85
2020-01-13,8111.4,-0.93
2020-01-12,8187.6,2.04
2020-01-11,8024.1,-1.99
2020-01-10,8187.1,4.4
2020-01-09,7842.4,-2.7
2020-01-08,8059.6,-1.18
2020-01-07,8155.7,5.11
2020-01-06,7759.1,5.24
2020-01-05,7372.5,-0.06
2020-01-04,7376.8,0.46
2020-01-03,7343.1,5.4
2020-01-02,6967,-3.23
2020-01-01,7199.8,0.05
2019-12-31,7196.4,-0.9
2019-12-30,7261.8,-1.84
2019-12-29,7397.5,1.04
2019-12-28,7321.5,0.82
2019-12-27,7261.7,0.7
2019-12-26,7210.9,-0.19
2019-12-25,7224.8,-0.6
2019-12-24,7268.3,-0.74
2019-12-23,7322.8,-2.31
2019-12-22,7495.8,4.74
2019-12-21,7156.2,-0.56
2019-12-20,7196.4,0.43
2019-12-19,7165.5,-1.52
2019-12-18,7276,10.02
2019-12-17,6613.3,-4.2
2019-12-16,6903.5,-3.16
2019-12-15,7128.5,0.67
2019-12-14,7080.8,-2.4
2019-12-13,7255.2,0.65
2019-12-12,7208,0
2019-12-11,7208,-0.38
2019-12-10,7235.7,-1.63
2019-12-09,7355.8,-2.24
2019-12-08,7524.4,0.18
2019-12-07,7510.9,-0.26
2019-12-06,7530.8,1.78
2019-12-05,7399.2,2.7
2019-12-04,7204.4,-1.2
2019-12-03,7291.8,-0.09
2019-12-02,7298.2,-1.33
2019-12-01,7396.4,-1.99
2019-11-30,7546.6,-2.53
2019-11-29,7742.7,4.26
2019-11-28,7426.7,-1.12
2019-11-27,7510.6,4.86
2019-11-26,7162.8,0.66
2019-11-25,7115.6,2.76
2019-11-24,6924.7,-5.45
2019-11-23,7324.1,0.71
2019-11-22,7272.5,-4.66
2019-11-21,7627.9,-5.82
2019-11-20,8099.3,-0.57
2019-11-19,8145.7,-0.76
2019-11-18,8208.4,-3.54
2019-11-17,8509.8,0.15
2019-11-16,8497.3,0.25
2019-11-15,8476.3,-2.13
2019-11-14,8661.2,-1.39
2019-11-13,8783.1,-0.33
2019-11-12,8812.6,0.87
2019-11-11,8736.9,-3.32
2019-11-10,9036.8,2.64
2019-11-09,8804.5,0.3
2019-11-08,8778.2,-4.83
2019-11-07,9223.5,-1.24
2019-11-06,9338.9,0.3
2019-11-05,9310.8,-0.91
2019-11-04,9396.4,2.15
2019-11-03,9198.3,-1.1
2019-11-02,9300.6,0.76
2019-11-01,9230.1,0.85
2019-10-31,9152.6,-0.06
2019-10-30,9157.9,-2.69
2019-10-29,9411.3,2.22
2019-10-28,9207.2,-3.38
2019-10-27,9529.6,3.24
2019-10-26,9230.6,6.61
2019-10-25,8658.3,16.65
2019-10-24,7422.7,-0.73
2019-10-23,7477,-6.9
2019-10-22,8031.4,-2.15
2019-10-21,8208.2,-0.18
2019-10-20,8223.4,3.34
2019-10-19,7957.3,0.11
2019-10-18,7948.5,-1.55
2019-10-17,8073.3,0.91
2019-10-16,8000.4,-2.04
2019-10-15,8167.2,-2.23
2019-10-14,8353.3,0.87
2019-10-13,8281.5,-0.28
2019-10-12,8304.4,0.44
2019-10-11,8267.8,-3.44
2019-10-10,8562.3,-0.05
2019-10-09,8566.7,4.69
2019-10-08,8182.9,-0.19
2019-10-07,8198.6,4.02
2019-10-06,7881.9,-3.02
2019-10-05,8127.3,-0.25
2019-10-04,8148.1,-0.96
2019-10-03,8226.9,-1.64
2019-10-02,8364.1,0.74
2019-10-01,8302.7,0.22
2019-09-30,8284.3,2.92
2019-09-29,8049.1,-1.94
2019-09-28,8208.5,0.29
2019-09-27,8184.9,1.5
2019-09-26,8063.8,-4.37
2019-09-25,8432.4,-0.96
2019-09-24,8513.9,-12.25
2019-09-23,9702.2,-3.28
2019-09-22,10031.6,0.39
2019-09-21,9993,-1.77
2019-09-20,10172.7,-0.76
2019-09-19,10250.5,0.84
2019-09-18,10164.7,-0.3
2019-09-17,10195.7,-0.58
2019-09-16,10255.5,-0.54
2019-09-15,10311.5,-0.25
2019-09-14,10337.3,-0.05
2019-09-13,10342.1,-0.7
2019-09-12,10415.1,2.49
2019-09-11,10162.5,0.57
2019-09-10,10105.4,-1.98
2019-09-09,10309,-0.9
2019-09-08,10402.8,-0.56
2019-09-07,10461.1,1.47
2019-09-06,10309.3,-2.44
2019-09-05,10566.9,-0.01
2019-09-04,10568.2,-0.42
2019-09-03,10612.3,2.55
2019-09-02,10348.8,6.37
2019-09-01,9729.3,1.41
2019-08-31,9594.4,0.09
2019-08-30,9585.4,0.99
2019-08-29,9491,-2.45
2019-08-28,9729.4,-4.47
2019-08-27,10184.8,-1.8
2019-08-26,10371.8,2.32
2019-08-25,10136.3,0.05
2019-08-24,10131,-2.48
2019-08-23,10388.7,2.81
2019-08-22,10105,-0.36
2019-08-21,10141.5,-5.68
2019-08-20,10752.6,-1.45
2019-08-19,10910.7,5.8
2019-08-18,10312.7,0.93
2019-08-17,10218.1,-1.14
2019-08-16,10335.6,0.31
2019-08-15,10303.4,2.53
2019-08-14,10049.4,-7.74
2019-08-13,10892.9,-4.4
2019-08-12,11394.2,-1.07
2019-08-11,11517.2,1.79
2019-08-10,11314.5,-6.41
2019-08-09,12089.8,-0.84
2019-08-08,12191.6,1.48
2019-08-07,12013.9,4.64
2019-08-06,11480.9,-2.84
2019-08-05,11816.8,8.07
2019-08-04,10934.6,1.1
2019-08-03,10815.7,2.81
2019-08-02,10520.1,1.35
2019-08-01,10380,2.96
2019-07-31,10082,5.23
2019-07-30,9580.7,0
2019-07-29,9580.9,-1.51
2019-07-28,9727.8,2.48
2019-07-27,9492.1,-3.45
2019-07-26,9831,-1.15
2019-07-25,9945.3,1.44
2019-07-24,9804.3,-0.85
2019-07-23,9888.7,-5.03
2019-07-22,10412.5,-2.82
2019-07-21,10714.4,-1.04
2019-07-20,10826.7,2.41
2019-07-19,10571.5,-0.75
2019-07-18,10651.4,9.55
2019-07-17,9723.2,3.17
2019-07-16,9424.8,-13.1
2019-07-15,10845.9,6.33
2019-07-14,10200.1,-10.25
2019-07-13,11364.9,-3.38
2019-07-12,11762.1,3.7
2019-07-11,11342.3,-6.34
2019-07-10,12110.6,-3.44
2019-07-09,12541.5,2.36
2019-07-08,12252.6,7.33
2019-07-07,11415.9,1.31
2019-07-06,11268,2.71
2019-07-05,10970.2,-1.73
2019-07-04,11163.1,-6.2
2019-07-03,11900.8,9.83
2019-07-02,10835.9,2.07
2019-07-01,10616.6,-1.87
2019-06-30,10818.6,-9.14
2019-06-29,11906.5,-4.05
2019-06-28,12409.1,9.93
2019-06-27,11287.8,-13.59
2019-06-26,13063.8,10.62
2019-06-25,11809.9,6.91
2019-06-24,11046.4,1.37
2019-06-23,10897.1,1.64
2019-06-22,10721.7,5.33
2019-06-21,10179.3,6.96
2019-06-20,9517,2.83
2019-06-19,9255.4,1.93
2019-06-18,9080.6,-2.56
2019-06-17,9318.8,3.98
2019-06-16,8962.5,1.7
2019-06-15,8812.5,1.81
2019-06-14,8656.1,5.32
2019-06-13,8219,1.06
2019-06-12,8133.1,3.11
2019-06-11,7888,-1.25
2019-06-10,7987.8,4.62
2019-06-09,7635,-3.37
2019-06-08,7901.4,-1.05
2019-06-07,7985.2,2.57
2019-06-06,7784.9,0.08
2019-06-05,7779.1,1.22
2019-06-04,7685.5,-5.41
2019-06-03,8124.8,-6.92
2019-06-02,8728.6,2.14
2019-06-01,8545.7,-0.15
2019-05-31,8558.3,3.46
2019-05-30,8271.9,-4.35
2019-05-29,8647.8,-0.79
2019-05-28,8716.3,-0.5
2019-05-27,8760.1,1.51
2019-05-26,8630.2,7.51
2019-05-25,8027.4,0.72
2019-05-24,7970.1,1.5
2019-05-23,7852.1,2.83
2019-05-22,7635.7,-3.72
2019-05-21,7930.3,-0.44
2019-05-20,7965.3,-2.35
2019-05-19,8157.2,12.32
2019-05-18,7262.6,-1.32
2019-05-17,7359.5,-6.51
